text,label
"Update your account information immediately",1
"Verify your identity to avoid suspension",1
"Reset your password urgently",1
"Urgent: Confirm your bank details",1
"Your account has been temporarily suspended",1
"Action required: Billing information update",1
"Important: Unauthorized login attempt detected",1
"Claim your free gift now",1
"Congratulations! You've won a prize",1
"Security Alert: Verify your credentials",1
"Update your PayPal account immediately",1
"Confirm your account or lose access",1
"Apple ID locked, verify now",1
"Google account suspicious login detected",1
"Your package is waiting for delivery confirmation",1
"Update your payment method now",1
"Password expiry notice",1
"Unusual activity detected in your account",1
"Amazon account security alert",1
"New message: Verify your mailbox",1
"Suspicious activity detected, confirm identity",1
"Reactivate your account to continue",1
"Reminder: Your subscription is expiring",1
"Invoice overdue, update payment",1
"Final warning: Confirm your credentials",1
"Microsoft account verification needed",1
"Notice of account suspension",1
"Verify your billing address",1
"Fraud alert: Confirm your transaction",1
"Claim your refund today",1
"Reset security questions now",1
"Your credit card needs validation",1
"Bank account confirmation needed",1
"Outlook account compromised, reset password",1
"Log in to secure your account",1
"Unusual payment detected",1
"Unlock special rewards now",1
"Recover your locked account",1
"Security warning: Immediate action required",1
"Netflix account verification required",1
"eBay account has been restricted",1
"Reactivate your membership",1
"Apple security team: Verify now",1
"Unauthorized attempt to access your account",1
"Payment failed, update details",1
"Warning: Virus detected",1
"Verify identity for your wallet",1
"Suspension notice: Take action now",1
"Secure your online wallet",1
"Account alert: Transaction failed",1
"Delivery notification failure",1
"Pending incoming payment",1
"Confirm your mobile banking access",1
"Suspicious login from unknown device",1
"Verify purchase information",1
"Credit card declined notification",1
"Deactivation alert",1
"Subscription expired, renew now",1
"PayPal dispute alert",1
"Reactivate social media account",1
"Cloud storage almost full",1
"Click here to verify your email",1
"Bitcoin transaction requires confirmation",1
"Update your cloud credentials",1
"Banking security system upgrade",1
"Unpaid invoice reminder",1
"New login attempt blocked",1
"Reset your account now",1
"Password reset required immediately",1
"Important tax refund notice",1
"Your rewards are ready",1
"Unrecognized login detected",1
"Security lockout warning",1
"Fraud prevention alert",1
"Update your tax information",1
"Refund process started, confirm",1
"Membership renewal notice",1
"Billing problem detected",1
"Action required: Secure your account",1
"Unauthorized device detected",1
"Your email account is full",1
"Email server upgrade required",1
"Secure your messages now",1
"Account deactivation scheduled",1
"Access restricted until verification",1
"Digital wallet requires updates",1
"Reactivate your online profile",1
"Confidential message awaiting action",1
"Unverified device login detected",1
"Urgent: Verify your online identity",1
"Temporary block placed on account",1
"Sign-in attempt flagged",1
"New device detected: Verify now",1
"Unprocessed payment request",1
"Critical account alert",1
"Immediate action needed for account security",1
"Account termination warning",1
"Malware threat detected",1
"Upgrade your email storage",1
"Data breach notice",1
"Urgent compliance update",1
"Unexpected charge alert",1
"Your digital signature needed",1
"Scheduled system maintenance",0
"Quarterly financial report",0
"Weekly team meeting reminder",0
"Staff lunch invitation",0
"Birthday celebration next Friday",0
"Project kickoff meeting scheduled",0
"Friendly reminder for the workshop",0
"Client meeting agenda",0
"Team-building activity next week",0
"Internal newsletter for April",0
"Company policy update",0
"New office announcement",0
"Performance review schedule",0
"Upcoming conference invitation",0
"Holiday party details",0
"Updated employee handbook",0
"Team offsite itinerary",0
"Monthly newsletter update",0
"Volunteer event next Saturday",0
"Training session reminder",0
"IT system upgrade notice",0
"Parking lot maintenance alert",0
"Employee discount codes",0
"HR open enrollment announcement",0
"Social media guidelines",0
"Customer satisfaction survey",0
"Welcome email for new hires",0
"Department budget approvals",0
"Quarter-end review preparation",0
"Expense report submission deadline",0
"Team photo day schedule",0
"Policy change notification",0
"Health and wellness fair details",0
"Password best practices",0
"Internal job postings available",0
"Office closure for public holiday",0
"Performance bonus eligibility notice",0
"Corporate travel guidelines",0
"Annual benefits enrollment reminder",0
"Work anniversary celebrations",0
"Cybersecurity awareness training",0
"Feedback request for event",0
"Charity fundraiser announcement",0
"Upcoming leadership webinar",0
"Annual inventory check reminder",0
"Fire drill scheduled",0
"Facilities upgrade plan",0
"Team collaboration tips",0
"Tips for working remotely",0
"Weekly tech tips",0
"Finance system update",0
"Out of office alert",0
"Recognition awards nominations",0
"Remote work policy update",0
"Office supplies ordering process",0
"Client appreciation week",0
"Fitness challenge details",0
"New cafeteria menu",0
"Business continuity planning",0
"Company rebranding announcement",0
"Quarterly town hall invitation",0
"Update on corporate social responsibility",0
"Summer internship opportunities",0
"Professional development workshops",0
"Internal audit schedule",0
"Weekly departmental reports",0
"Remote onboarding guide",0
"End of year party planning",0
"Internal mobile app launch",0
"Tips for virtual meetings",0
"Security badge replacement procedure",0
"Year-end tax documents available",0
"Company picnic information",0
"Flexible work hours pilot program",0
"Executive message on strategy update",0
"Mentorship program enrollment",0
"Data privacy awareness campaign",0
"Office ergonomics tips",0
"Employee recognition program update",0
"Customer experience initiative",0
"Team challenge leaderboard",0
"Weekly leadership message",0
"Weekly status update",0
"Manager training opportunities",0
"Personal development plan templates",0
"Workforce engagement survey",0
"Internal career growth paths",0
"IT helpdesk new ticketing system",0
"Summer schedule updates",0
"Email etiquette training",0
"Internal communications survey",0
"Celebrating team milestones",0
"Learning and development catalog",0
"Best practices for online collaboration",0
"New company blog post",0
"HR policy FAQ",0
"Daily productivity tips",0
"Legal compliance update",0
"New health insurance plans",0
"Employee benefits FAQ",0
"Cloud services training schedule",0
"Internal cybersecurity newsletter",0
"Environmental responsibility initiatives",0
"win price 10,000",1
"hi welcome",0
